Signature(SHA256),Analysis Time(seconds),Node Processing Time(seconds), Order |V|, Size (|E|)
2cf8975496781dd06f3a0ef3d41f994d06dc4bafb3f417e51cc18896faaf8e04,27.59,1.58,11523,17241
2d80579ed6d16513d2850751c72f7fbf43e1d3ee59f65de08c2799a56004e325,10.65,0.15,779,949
2d931f6867e7049b450c8ab36e1f8e6a51f0ee95fc2253d0759e3e3b118fe1d1,125.22,5.28,42359,63379
2dd3144ab294d675eae0290d5b2d385d4d7ddb36e0450b982358a1519ba19fb4,11.34,0.03,3,2
2e2a74099a9d68ff104ceed747672294321c8a5ffdf67c03504072ff964a65c7,15.06,0.68,4547,6842
2e62a782c84149953dd216d96fec8e0f4d4b568525bbaa0574b1aad2530d28e0,52.11,3.95,43251,66576
2e726bf4b61c3f9d3a53635520b2a483917483e92f920a2197b028e37c5a44a8,16.19,0.81,4809,7272
2fdef1db7d43cfc1134c31e121202b44f67fe2323067c0fcf85895b03d764c70,29.41,1.56,11523,17241
303390bc191c1d649f31cb81d70289cb7cfd2097ac6eec11d83f73382ca8e633,28.41,1.52,11523,17241
30390db8ef77afdb6add86f7f2990a142823401078ab237020933d0423374b27,61.68,3.65,36054,52754
30430bcfeee8141ba1dba3983c9a8d89f3c1acf5b8efd0d97f23d4a122c0787a,124.31,5.36,42458,63521
306a043bae611b8e7d31fa2bd72e7b2b27771e48bba4f034687ba73ae64fdcce,27.54,1.89,11523,17241
307ce928a9a9c4edbfdb69266b7ec8d9297579124456204748f11120f46af641,29.1,1.47,11523,17241
30a8cf3e6863030c762b468bf48d679f3dd053a80793770443938fa18de89617,12.84,0.73,1635,2474
30dc5634a6f8e4fb7f61852ce992e06f8e84024826118ed0b95d17d101e708f9,29.28,1.69,11523,17241
31105fb81a54642024ef98921a524bf70dec655905ed9a2f5e24ad503188d8ae,29.67,1.94,11523,17241
3121f4f26075f6ebcd725d57ab1c0c6f4433acf1b8942b92cd4d533ce672f7f8,28.32,1.76,11523,17241
312ca1a8e35dcf5b80b1526948bd1081fed2293b31d061635e9f048f3fe5eb83,58.92,2.5,22649,34509
317b6cb9b47f2ac069e771024de767c3b80b23b5527d43bbf00e0a11d9563e56,53.86,4.8,6568,9973
31ac190b45cc32c04c2415761c7f152153e16750516df0ce0761ca28300dd6a4,29.38,1.87,11523,17241
31f25b07fbacb858b8b855099e17eb883ed4597b84a54c2ca2af5f8fb44d2456,27.93,1.55,11523,17241
322211452488d367edb6796363c70ac752ad67048092cf4d00a67afd2cbf090b,29.59,1.77,11523,17241
324e7e661739ec747c0a65a3da752fe572c205b8d44a498cb2e5b553e3a02a21,28.79,1.56,11523,17241
327799f36f3ff17ccf9989655edf82793cfe0551994397d8f4ad925bea1f2745,28.1,1.91,11523,17241
3278addf31aca87f4d7dc0c5dfbc4f575f8a2f761fedb0d9f730610a424dd80b,15.21,0.77,4809,7272
32dce5b309829b8c37abe243e5bd8cbc9fae96ce7109fcd348b2193e64061401,27.89,1.5,11523,17241
32e10dc9fe935d7c835530be214142041b6aa25ee32c62648dea124401137ea5,67.34,7.64,66808,98736
33376f74c2f071ff30bab1c2d19d9361d16ebaa3dee73d3b595f6d789c15f620,9.14,0.07,1,0
33a99066776eacf39e2f36243b8fbee2e542e35a4b56531187463a266dd5b0ff,41.19,2.31,20545,31373
33dc991e61ba714812aa536821b073e4274951a1e4a9bc68f71a802d034f4fb9,11.15,0.3,739,1040
33e5396c26b5fff35264d758f66244d54372a93be3bc83a27bb1ebef58b1528c,4.39,0.22,58,83
33ef66ec811267739a975c776b75787e819a26761e232f0b3eb4b32e7ef560d8,54.73,4.26,43193,66480
3456b35253e1d4f2fcc0886eabf6977f6a7126a1c9b3208ea58252183c6b1c75,28.11,1.57,11523,17241
369a4f163bf5552d238f52607c828c105645d29d6f2446363cdfec118f9ea412,6.25,0.04,57,82
3720cafdd914d70d5fccf8d61593a66b5bdc400432e687c92e66eb3b5e8a9d9e,126.09,5.37,42359,63379
374aa1aaaad4ddd0a9a5f08f643f96b3fb8b741802e19ac2fb8843351cf8efc1,113.86,5.78,55675,82860
378bec795d652d3941510969c1db6a42fab4d493704fbd52121a48d2ba459d0d,209.03,23.9,188838,293944
381c3ed7a3b3d3017faaacb917c911aa266c2fb3e648f0e659222ec38148ee3c,44.89,1.75,13864,21676
39e8cc7d47b69341908afda35046dbcccf118271918e69c4012dd35923b55c9f,127.67,4.93,42359,63379
3a2f6e614ff030804aa18cb03fcc3bc357f6226786efb4a734cbe2a3a1984b6f,44.53,5.47,50486,77944
3ad343a324037250af9aa7409e211d754adb6524c8d443e1f4afcf38e6df092c,1112.14,1.7,15210,24453
3ae7bedf236d4e53a33f3a3e1e80eae2d93e91b1988da2f7fcb8fde5dcc3a0e9,19.88,1.02,5995,8985
3be5aab4031263529fe019d4db19c0c6d3eb448e0250e0cb5a7ab2324eb2224d,46.11,5.47,50486,77944
3d091b32abd008ff392158ff4d7271f72febe6069b4b1b3ccd51a2a733e37327,54.41,4.41,43193,66480
3da500d9dc1a24e1c4a55146a1dd85088c07cde5cb684f1ad4238b78b74cd5c1,50.89,1.14,6829,10689
3e19d1653c08206c55e1f835bd890b067b652b99a7b38bad4d78ad7490c6a0f8,54.38,3.83,43193,66480
